<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Lotus Gold Com.ETF,20250120, 388337.00, 390100.00, 388300.00, 389374.00,2839840183537.00, 7293350,10729,D,387337.00,389011.00
Lotus Gold Com.ETF,20250119, 388998.00, 388998.00, 385001.00, 387337.00,4284507457525.00, 11061445,12814,D,384487.00,386001.00
Lotus Gold Com.ETF,20250118, 383700.00, 387000.00, 382350.00, 384487.00,2759295021788.00, 7176560,11303,D,386076.00,386011.00
Lotus Gold Com.ETF,20250115, 386500.00, 386800.00, 383925.00, 386076.00,3314238191765.00, 8584428,11495,D,388844.00,386550.00
Lotus Gold Com.ETF,20250113, 387300.00, 389497.00, 387300.00, 388844.00,1922938545767.00, 4945265,9337,D,385385.00,388959.00
Lotus Gold Com.ETF,20250112, 388000.00, 388000.00, 382877.00, 385385.00,3192117095558.00, 8282933,12512,D,387763.00,386299.00
Lotus Gold Com.ETF,20250111, 385400.00, 389001.00, 385102.00, 387763.00,3924870058647.00, 10121814,14283,D,377589.00,388212.00
Lotus Gold Com.ETF,20250108, 373990.00, 381300.00, 372700.00, 377589.00,4707324442275.00, 12466804,15209,D,372419.00,379536.00
Lotus Gold Com.ETF,20250107, 370200.00, 375200.00, 369500.00, 372419.00,3211425086590.00, 8623145,13166,D,367258.00,374140.00
Lotus Gold Com.ETF,20250106, 366501.00, 371150.00, 365000.00, 367258.00,2784831445603.00, 7582771,10674,D,368383.00,367046.00
Lotus Gold Com.ETF,20250105, 369055.00, 370900.00, 367777.00, 368383.00,2531451585363.00, 6871790,10167,D,369086.00,369649.00
Lotus Gold Com.ETF,20250104, 367000.00, 371999.00, 366444.00, 369086.00,4432301192819.00, 12008869,18978,D,373203.00,367989.00
Lotus Gold Com.ETF,20250101, 374910.00, 374910.00, 371900.00, 373203.00,3958094835535.00, 10605735,10718,D,374007.00,373114.00
Lotus Gold Com.ETF,20241231, 375000.00, 375000.00, 372510.00, 374007.00,3023231143663.00, 8083350,11063,D,370603.00,374100.00
Lotus Gold Com.ETF,20241230, 365000.00, 376300.00, 361662.00, 370603.00,5275289638735.00, 14234339,16722,D,373245.00,374680.00
Lotus Gold Com.ETF,20241229, 382500.00, 382500.00, 366450.00, 373245.00,6384707378004.00, 17105954,29584,D,379829.00,368585.00
Lotus Gold Com.ETF,20241228, 378500.00, 382509.00, 377010.00, 379829.00,5486424398213.00, 14444454,20827,D,370755.00,380100.00
